dataset,name,k,solver,time,timeout,numsol,expd,gen,qsize,pr-frontier,pr-sol,pr-fea,pr-post,pr-extra
Dumas,n40w20.003,10,makespan-order-mst,0.003156,0,1,84,310,9,30,0,1,196,1490
Dumas,n60w60.003,10,combine,0.01811,0,1,2982,27054,708,3504,0,1,20568,65329
Dumas,n60w60.003,10,makespan-order,0.01875,0,1,2982,26751,541,3610,0,1,20159,64798
Dumas,n60w60.003,10,makespan-order-mst,0.3641,0,1,2533,22422,531,3047,0,1,16842,54875
Dumas,n100w20.002,10,combine,0.001665,0,1,491,2224,57,332,0,0,1402,28183
Dumas,n100w20.002,10,makespan-order,0.001882,0,1,516,2357,63,346,0,0,1496,29721
Dumas,n100w20.002,10,makespan-order-mst,0.1121,0,1,450,2027,54,297,0,0,1281,25655
Dumas,n60w80.003,10,combine,0.03638,0,1,5877,53103,2317,9335,0,1,37891,168375
Dumas,n60w80.003,10,makespan-order,0.03987,0,1,5849,52780,2317,9269,0,1,37662,167723
Dumas,n60w80.003,10,makespan-order-mst,1.189,0,1,4949,43925,1408,8009,0,1,30967,137078
Dumas,n100w60.002,10,combine,0.1437,0,2,16722,156386,3296,26899,0,1,112764,692008
Dumas,n100w60.002,10,makespan-order,0.1441,0,2,15741,144208,3080,24967,0,1,103499,654934
Dumas,n100w60.002,10,makespan-order-mst,5.807,0,2,14794,134347,3034,24533,0,1,95019,613502
Dumas,n20w100.005,10,combine,0.003336,0,1,907,5993,437,1315,0,1,3771,6155
Dumas,n20w100.005,10,makespan-order,0.003357,0,1,929,6072,261,1324,0,1,3819,6223
Dumas,n20w100.005,10,makespan-order-mst,0.02088,0,1,865,5747,232,1249,0,1,3633,5819
Dumas,n40w80.002,10,combine,0.04282,0,1,6828,66265,2179,8209,1,1,51227,131166
Dumas,n40w80.002,10,makespan-order,0.04978,0,1,7053,68021,1358,8770,1,1,52197,135494
Dumas,n40w80.002,10,makespan-order-mst,0.7694,0,1,5868,56137,1270,7486,1,1,42782,113007
Dumas,n200w20.002,10,combine,0.01802,0,1,2445,14187,379,2636,0,1,9106,248853
Dumas,n200w20.002,10,makespan-order,0.01912,0,1,2430,14232,220,2581,0,1,9221,252067
Dumas,n200w20.002,10,makespan-order-mst,1.843,0,1,2241,13088,220,2439,0,1,8408,226157
Dumas,n150w20.002,10,combine,0.004862,0,1,942,5076,120,752,0,1,3382,75817
Dumas,n150w20.002,10,makespan-order,0.005332,0,1,939,5119,95,699,0,1,3481,76635
Dumas,n150w20.002,10,makespan-order-mst,0.4706,0,1,828,4503,97,649,0,1,3026,68500
Dumas,n80w60.004,10,combine,0.02373,0,2,4478,34781,1011,6831,0,1,23471,103193
Dumas,n80w60.004,10,makespan-order,0.02503,0,2,4305,33384,1112,6268,0,1,22810,102136
Dumas,n80w60.004,10,makespan-order-mst,0.7676,0,2,4648,36082,1199,6826,0,1,24607,109487
Dumas,n20w20.003,10,combine,0.0001071,0,1,37,125,6,7,0,1,81,286
Dumas,n20w20.003,10,makespan-order,5.777e-05,0,1,38,128,7,7,0,1,83,292
Dumas,n20w20.003,10,makespan-order-mst,0.0004486,0,1,37,125,7,7,0,1,81,286
Dumas,n200w20.003,10,combine,0.01582,0,1,2368,12537,253,2499,0,1,7670,251200
Dumas,n200w20.003,10,makespan-order,0.017,0,1,2462,13160,200,2582,0,1,8116,260632
Dumas,n200w20.003,10,makespan-order-mst,1.953,0,1,2236,11821,198,2414,0,1,7171,243554
Dumas,n200w40.001,10,combine,0.2293,0,1,20865,192723,2703,33099,0,1,138759,2719899
Dumas,n200w40.001,10,makespan-order,0.237,0,1,20032,184226,2251,31721,0,1,132473,2614078
Dumas,n200w40.001,10,makespan-order-mst,34.07,0,1,16740,151611,1958,25953,0,1,108918,2196362
Dumas,n40w60.003,10,combine,0.002468,0,1,663,4384,178,634,0,1,3087,11573
Dumas,n40w60.003,10,makespan-order,0.002551,0,1,693,4538,107,657,0,1,3188,12028
Dumas,n40w60.003,10,makespan-order-mst,0.04362,0,1,671,4402,108,645,0,1,3086,11462
Dumas,n80w60.002,10,combine,0.07272,0,1,8633,76735,5189,18464,0,1,49638,370251
Dumas,n80w60.002,10,makespan-order,0.06268,0,1,7567,67837,3477,15704,0,1,44566,324782
Dumas,n80w60.002,10,makespan-order-mst,3.173,0,1,9055,78913,5312,20937,0,1,48921,400126
Dumas,n80w60.005,10,combine,0.02395,0,1,4861,32051,599,7435,0,1,19755,158513
Dumas,n80w60.005,10,makespan-order,0.02509,0,1,4617,29954,650,7128,0,1,18209,150005
Dumas,n80w60.005,10,makespan-order-mst,0.8317,0,2,5144,33153,752,8188,0,1,19820,156644
Dumas,n20w60.003,10,combine,0.0002427,0,1,94,400,27,55,0,1,251,718
Dumas,n20w60.003,10,makespan-order,0.0002037,0,1,92,395,25,55,0,1,248,708
Dumas,n20w60.003,10,makespan-order-mst,0.001235,0,1,92,395,25,55,0,1,248,708
Dumas,n60w100.001,10,combine,0.3151,0,1,33558,366548,8090,55571,0,1,277419,784842
Dumas,n60w100.001,10,makespan-order,0.369,0,1,33114,359484,6189,53642,0,1,272728,782876
Dumas,n60w100.001,10,makespan-order-mst,6.177,0,1,30293,329122,5779,50093,0,1,248736,712710
Dumas,n80w40.004,10,combine,0.004474,0,1,1181,7085,104,949,0,1,4955,43033
Dumas,n80w40.004,10,makespan-order,0.004484,0,1,1131,6738,96,922,0,1,4685,40717
Dumas,n80w40.004,10,makespan-order-mst,0.2391,0,1,1062,6321,101,843,0,1,4416,38537
Dumas,n100w60.004,10,combine,0.4338,0,1,40086,484050,9253,63486,0,1,380478,2278104
Dumas,n100w60.004,10,makespan-order,0.4876,0,1,37497,452073,6486,57806,0,1,356770,2136081
Dumas,n100w60.004,10,makespan-order-mst,27.53,0,1,34458,414439,6082,53203,0,1,326778,1966788
Dumas,n20w20.004,10,combine,3.946e-05,0,1,28,88,2,3,0,1,57,222
Dumas,n20w20.004,10,makespan-order,3.9e-05,0,1,28,88,2,3,0,1,57,222
Dumas,n20w20.004,10,makespan-order-mst,0.0002772,0,1,28,88,2,3,0,1,57,222
Dumas,n20w80.002,10,combine,0.0003551,0,1,177,896,67,149,0,1,570,880
Dumas,n20w80.002,10,makespan-order,0.0004015,0,1,187,945,75,167,0,1,591,927
